indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Agentes Contaminantes de la Cuenca Matanza Riachuelo,eb9758ea-7c90-4548-adbe-a43eabc5604d,ERROR,3,2
1,Establecimientos Reconvertidos en la Cuenca Matanza Riachuelo,6847477e-a9e8-4d01-8655-9f882dad8301,ERROR,3,2
2,Indicador N° 2 - Índice de Calidad de Agua Superficial (ICA) - ACUMAR,ecb477bd-9647-4494-b1a7-7097938398f3,ERROR,1,1
3,Solicitudes de Información Pública 2018 - ACUMAR,e75a263a-e356-44ef-bef3-50ac1e3e80ae,ERROR,6,31
4,Actas del Consejo Municipal - ACUMAR,0d3edbf3-4a6d-490f-a65c-520a77616570,ERROR,19,19
5,Estaciones de Medición de la cuenca Matanza Riachuelo,c0908b2c-df4a-44c4-85e1-d42bc10ca660,OK,0,3
6,Línea de Base de Basurales 2017 en la cuenca Matanza Riachuelo,5f4e8da5-f44f-4095-9fbc-b4f025f6eecb,ERROR,2,2
7,Establecimientos de Seguimiento Particular en la Cuenca Matanza Riachuelo,cfcf2b38-04be-4212-b8b5-8cee045669ad,ERROR,2,2
8,Denuncias recibidas por el Centro de Atención de ACUMAR 2011-2017,fdb8f13c-0d27-467c-b894-e1340286ac4c,ERROR,8,8
9,Índice de Calidad de Vida (ICV) de la cuenca Matanza Riachuelo,ceba000d-184f-4f36-9bc4-611f22ed2faf,OK,0,6
10,Actas del Consejo Directivo de ACUMAR - 2016,c1ad2463-a3f5-4657-9efc-8cccd8176e37,ERROR,30,30
11,Solicitudes de Información Pública - ACUMAR,6096b57f-e470-4a3e-8f29-5a5593c2e5a1,ERROR,7,7
12,Solicitudes de Información Pública Recibidas 2017 - ACUMAR,c4543a3a-1ca4-4cc5-ae99-62e6ba8d8190,ERROR,67,67
13,Respuestas a las Solicitudes de Información Pública 2017 - ACUMAR,fa22c32b-bcad-4360-8c02-b16688a433f8,ERROR,66,66
14,Normativa ACUMAR,997c6d6d-8154-48fd-8f8c-4dc45ae91169,ERROR,1,1
15,Actas del Consejo Directivo de ACUMAR - 2018,8c0e4e46-bb9b-4433-9fb4-e39434f8a9ef,ERROR,3,3
16,Establecimientos Empadronados en la cuenca Matanza Riachuelo,fbb9be8e-c33c-49e5-aeb1-d39c39817b92,ERROR,1,1
17,Actas del Consejo Directivo de ACUMAR - 2017,e968c95c-3d7c-4566-b91a-0e9d8f603d72,ERROR,16,16
18,Actas del Consejo Directivo de ACUMAR - 2015,6f6b4e02-1aac-4c86-b8cf-e20341df8e06,ERROR,16,16
19,Actas del Consejo Directivo de ACUMAR - 2014,1a60cd57-83ff-4bd4-a5f0-bc0e05ea8c2e,ERROR,16,16
20,Actas del Consejo Directivo de ACUMAR - 2013,5c5387cf-2908-4937-82ae-63bfef74aa5d,ERROR,21,21
21,Actas del Consejo Directivo de ACUMAR - 2012,a55008ca-6062-4de1-852b-6f730fecb8fb,ERROR,17,17
22,Actas del Consejo Directivo de ACUMAR - 2011,f1cbd20d-5288-4531-b2c4-175d4ccf20d5,ERROR,22,22
23,Actas del Consejo Directivo de ACUMAR - 2010,cb351aa5-731b-458b-8227-a0c5b828356f,ERROR,26,26
