indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Centros de acopio de granos,b8d69703-ebc5-4cc0-a52c-0cc9e404489f,ERROR,1,2
1,Precio promedio por kg de sólidos útiles pagados al productor,1ec710c5-2651-463b-82da-4c547c2b352a,ERROR,1,1
2,Empresas vigentes inscriptas en el RNCyF de Semillas,684dea1a-7e35-486e-9ae1-ddda2b847859,ERROR,2,2
3,Precio promedio diario internacional de azúcar,85337517-8ec6-415b-937a-40b91f88fce8,ERROR,2,2
4,Producción nacional fiscalizada por especies y ubicación registrada en el INASE,022957c0-60a0-4c1a-8160-e601bbbf8012,ERROR,2,3
5,Uso de suelo según Censo Nacional Agropecuario 2002,e83c900a-b786-4472-8106-542cf6144cf6,ERROR,2,2
6,"Explotaciones agropecuarias según el Censo Nacional Agropecuario de los años 1988, 2002 y 2008",0c4ede16-0a5d-4351-8a2f-227f0d0b7069,ERROR,2,6
7,Superficie afectada por incendios forestales en el país,675f2ed9-d01a-43ee-9179-d021859ec045,ERROR,2,1
8,Probabilidad de déficit hídrico,1926ccfe-4b87-4064-ba3e-1ee8d3c9d846,ERROR,1,2
9,Probabilidad de exceso hídrico,e6929bfa-8cfd-4b40-96b8-7e3881ee82f7,ERROR,1,2
10,"Montos pagados por la Ley 25080 / 264.32, para la actividad plantación",e64d03cc-872a-4c6a-bb42-eedc1a53364f,ERROR,1,1
11,Censo de aserraderos,a6ecf619-87df-48af-8af4-1cdc509090a0,ERROR,2,2
12,Series de precios de recursos forestales,72a6ff21-ff1e-4fa6-b5e7-bcecb7a11896,ERROR,2,2
13,Tasa de ruralidad por radio censal,e3152064-2394-4820-bc80-291f85596642,ERROR,2,2
14,"Ley 25.080, superficie forestal promocionada",795c4b13-4e7a-454b-aec7-8e12f2571f05,OK,0,1
15,Reservas de agua en el suelo por cultivo,6d90f733-0365-47a8-a138-a0cb0cd709fa,ERROR,1,3
16,Indicadores anuales del sector bovino,6c17e5cd-bccd-4536-a08c-ff01d4e0f0e7,ERROR,2,1
17,Indicadores mensuales del sector bovino,672fe228-086e-4c00-bbe0-3500f8cfd62e,ERROR,2,1
18,Precio promedio del litro de leche pagado al productor,091cb5ae-fa89-4c5d-a9cf-cd846dc13301,ERROR,1,1
19,Padrón de operadores orgánicos certificados,387ec24d-5fb2-4184-9178-213525885ef2,ERROR,2,1
20,Catálogo nacional de cultivares registrados en el RNC y RNPC,e21dfda4-d28a-4141-ab8e-67112f2ef24a,ERROR,2,3
21,Superficie nacional fiscalizada por especie y ubicación registrada en el INASE,67d63f59-d025-4de5-adab-227a073d9af7,ERROR,2,3
22,Establecimientos vigentes inscriptos en el RNCyF de Semillas,b48e8e95-ff53-4782-a596-bbe9a0309c20,ERROR,2,3
