indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Accesos de televisión por suscripción por provincia,39793c0f-53e3-4390-8f80-2d5f40755303,ERROR,2,3
1,Actividad ambiental de petróleo y gas,3349d186-fd92-46a7-bd9c-9138653aed37,ERROR,2,3
2,Agregados monetarios,862818c1-8415-4a73-ad99-fd187be0eddc,ERROR,2,1
3,Ahorro externo y ahorro interno. Base 1993,c90e6ff5-af3b-486e-8904-2ae7834f9c85,ERROR,2,2
4,Áreas de cobertura de la televisión digital abierta,4caea850-9ded-461e-9bec-f5e60132716f,ERROR,2,3
5,"Asalariados registrados del sector privado, por provincia.",a7a04521-1df7-40ea-94dd-793530b79e76,ERROR,2,2
6,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",0dab0ebd-da5c-41fc-91a9-fa127a00e37f,ERROR,2,1
7,Asignación Salarial de las Autoridades Superiores del Poder Ejecutivo Nacional,431381cc-3c5b-49ba-bf77-47bf658cd640,ERROR,3,2
8,Autoridades nacionales desde 1944,17a0a733-7b25-49fb-8bd1-d02e3901bf30,ERROR,2,1
9,Balance de Pagos (MBP5),6c4ed587-9643-4c86-9db1-75962ab26754,ERROR,2,2
10,Balance de Pagos (MBP6),e45d0403-6b24-4c9d-924b-2353e6e80acb,ERROR,2,2
11,Balances Energéticos,a5cfe0e7-6c03-4c70-a48c-efd8d9dba5e9,ERROR,2,66
12,Balanza comercial minera,7408deaa-b077-4915-b394-53224607e2bf,ERROR,2,1
13,Barrios Populares de Argentina,89fb68b6-fce4-4297-8dee-24f5de8f20a8,ERROR,2,1
14,Base Infoleg de Normativa Nacional,9016d450-7057-466e-aea2-800104aa0fa9,ERROR,2,3
15,Base SAIJ de Normativa Provincial,928c2d2a-12c8-4aed-afd0-c48f62e3c0d5,ERROR,2,1
16,Bienes secuestrados y decomisados durante el proceso penal,ea92b021-1dd3-40c7-a3f5-df99859ce68d,ERROR,2,3
17,Bolsas mundiales,390c4848-a7d1-4384-ac6c-3bea9cc06dd2,ERROR,2,4
18,Cálculo de Recursos y su Ejecución completo de la Administración Pública Nacional,31d634bb-ebb9-4787-a6a5-620d0bf86a1d,ERROR,2,1
19,"Canasta básica alimentaria y total, línea de indigencia y línea de pobreza desde 1988",b0424c7b-1c15-4de5-bd0d-279b05668081,ERROR,2,3
20,Cantidad de usuarios de gas natural de red por segmento de calle,4bcbcf38-5c16-4812-83f7-f5710f50b74a,ERROR,2,2
21,Cantidad de usuarios  de redes de gas natural por provincia,4bc57234-f03b-433c-bc97-49961eee568d,ERROR,2,1
22,Cantidad de usuarios de redes de gas natural por tipo,b91e8d31-f78a-468d-806d-ec2fbd75d997,ERROR,2,1
23,Captura pesquera,f9ae312b-88f4-494e-81d9-533205e21e1f,ERROR,2,3
24,Categorías y escalas salariales,31e6d758-9bde-4183-92b9-c7e31689bd36,ERROR,2,3
25,Centros de Acceso a la Justicia -CAJ-,9563c175-3c33-4e8f-979a-8cb6822cf93f,ERROR,2,1
26,Centros de Compras. Base 2008,8e583078-f095-475a-9a5c-e42b9d326a14,ERROR,2,3
27,Certificados de importación según régimen de inversiones mineras,022814e2-f90b-4962-90b3-dc4a4e77d5b6,ERROR,2,1
28,"CER, UVA y UVI",419f85de-fc10-4aa3-927d-2143af952532,ERROR,2,2
29,Comercialización Hidrocarburos Combustibles Líquidos,d8401b00-086a-4039-b9f1-d67e72a11d1f,ERROR,2,2
30,Comercialización de hidrocarburos - Combustibles líquidos - Aeroplantas,65715f3c-b0f2-4bfa-be79-9160f5a48eca,ERROR,2,2
31,Comercialización de hidrocarburos - Depósitos de GLP,fd20d7ef-8280-4d40-b07d-e5264b6426f8,ERROR,2,2
32,Comercialización de hidrocarburos - Plantas fraccionadoras de GLP,197d955b-9a6a-4b2a-8e2d-7799f86e7bd3,ERROR,2,2
33,Comercialización de hidrocarburos - Terminales de despacho de  combustibles líquidos,164bb472-89c3-4fce-bc7a-66244c435439,ERROR,2,2
34,Compras de GLP,0518e0e9-0ef0-4743-9d0a-94ea96a0a92c,ERROR,2,7
35,Conectividad al servicio de Internet,672add0f-1f4f-4c6a-84cc-cf21a6b7d577,ERROR,2,3
36,Consultas efectuadas en los Centros de Acceso a la Justicia -CAJ-,216b5d5c-c0d5-4389-90cc-7bb52a938401,ERROR,2,2
37,Contratos de Alquiler del Estado Nacional como Locador,b9602e2a-163f-4d12-adcb-c0c92f3a49f0,ERROR,2,1
38,Coordenadas de la red de fibra óptica en servicio,f6dfaa78-32a2-4301-99fe-2d1cda4d1272,ERROR,2,3
39,"Costo Salarial, por rama de actividad económica",bfe3882a-e51e-4a70-9f09-179019df1593,ERROR,2,2
40,"Costo Salarial  promedio del sector privado, por provincia",f2561b4f-efec-46d1-84ed-0c8ec3ab98b4,ERROR,2,2
41,Cotizaciones de divisas internacionales,4dc54034-4e94-4a3f-9c62-5296834824d3,ERROR,2,4
42,Crecimiento del Producto Interno Bruto de principales economías,c16a06e1-e5e2-4e24-bc79-6c8bc6e1065d,ERROR,2,1
43,Crédito y Gasto completo del Presupuesto de la Administración Pública Nacional,18b9d0e1-b3a4-44e6-9415-2f06b7bd5702,ERROR,2,1
44,Curriculums Vitae de magistrados para cubrir vacantes en el Poder Judicial y el Ministerio Público,2ace17af-cedb-42c4-95bc-b3e7812725b7,ERROR,2,7
45,Datos del área de cobertura de la Banda C del satélite ARSAT-2 en América,bfc10796-f3bf-4b7b-be58-0358da72ee00,ERROR,2,3
46,Datos del área de cobertura en Banda KU del satélite ARSAT-2 en América del Sur,1868aff0-79e9-407f-94cb-e860afa19e22,ERROR,2,3
47,Datos del área de cobertura de la Banda KU del satélite ARSAT-2 en Norteamérica,9de1b15c-a209-45cf-a95d-b5d05e105c03,ERROR,2,3
48,Datos de las estaciones de transmisión en construcción o planificadas,41ac192d-682c-463b-aa43-5ffa83ec0d0e,ERROR,2,3
49,Datos de las estaciones transmisoras,de0f90d5-fc96-471c-9730-386a7ca8ed68,ERROR,2,3
50,Datos de uso de la plataforma,fe98fcd6-0702-4322-a0f0-6723be2a6f30,ERROR,2,3
51,Declaraciones Juradas Patrimoniales - Directorio y Gerentes,6c9a7036-e7c1-4045-9954-7df3d69045ea,ERROR,2,3
52,Declaraciones Juradas Patrimoniales Integrales de carácter público,494709b5-1131-4eb9-b940-9d6b1ea91c05,ERROR,2,9
53,Denuncias mensuales recibidas,8eb8cdf7-4c76-4f5f-85fb-bc78be5c86c6,ERROR,2,3
54,Desempleo de principales economías,12e27108-4463-48bc-ae1c-3568609da0a7,ERROR,2,2
55,Designaciones de magistrados de la Justicia Federal y de la Justicia Nacional,ae2d7c35-b376-4cd0-844e-727568891f7f,ERROR,2,5
56,Disponibilidad de petróleo a fin de mes,805d1a36-43bf-48b3-9f58-67257a44a5ec,ERROR,2,1
57,Distribución Eléctrica Apelp La Pampa Media Tensión  Líneas,2f318f00-f4e4-455e-a67c-0a31c16574be,ERROR,2,2
58,Distribución Eléctrica - Áreas de distribución de cooperativas,aa1d068b-1d4f-48ea-aa10-e0797024a063,ERROR,2,2
59,Distribución Eléctrica - Concesiones de empresas distribuidoras,49fbeaa1-bd8e-4101-ba6e-72fc4dc32f9a,ERROR,2,2
60,Distribución Eléctrica Edelap,4ddfa87a-39f1-4bf4-8ff3-3bf7310bf895,ERROR,2,10
61,Distribución Eléctrica Edenor,71073463-cd99-4c9d-9ba3-5e42998d5cc7,ERROR,2,16
62,Distribución Eléctrica Edesur,5adef7be-4a1b-4136-99b3-14570b214249,ERROR,2,8
63,Distribución de gas natural - Concesiones de empresas distribuidoras,c779e2c7-c924-45c2-bb07-505e2bf24095,ERROR,2,2
64,Distribución de petróleo,793c1239-6558-4e02-9fc2-d6b7aadb51d5,ERROR,2,3
65,Ejecuciones Presupuestarias 2016,f3804421-2956-4303-8a69-69644a4d32a4,ERROR,2,3
66,Ejecución Presupuestaria de la Administración Pública Nacional,89f1a2dd-ad79-4211-87b4-44661d81ac0d,ERROR,3,3
67,Elaboración de combustibles,a8f25a48-9917-4235-9277-484cdde1ecd6,ERROR,2,3
68,Emerging Markets Bonds Index (EMBI),bb1bdfb8-4db6-4555-8519-605e09893e74,ERROR,2,4
69,"Empleo registrado del sector privado, por rama de actividad",23f73517-d0a2-4bc2-9559-b2f210850dca,ERROR,2,1
70,"Empleo registrado del sector privado, por sector de actividad.",2bd405db-bfde-4ce0-8ee8-2a9252c5c930,ERROR,2,2
71,Empleo total por aglomerado,7fedb5f3-3dc2-423b-9280-a0067eaac79b,ERROR,2,3
72,Empleo total y por sector de actividad,447e59e7-eacc-4adf-8f84-d4dc0548dfa9,ERROR,2,3
73,"Empresas de ejecución de proyectos de ciencia, tecnología e innovación",fce797dc-f982-4b63-b7e6-8b2c225b83e6,ERROR,2,2
74,Encuesta industrial. Índice de Salario por Obrero (ISO).  Base 1997,32b849a0-d282-4876-b334-69f10689e742,ERROR,2,2
75,Encuesta industrial. Índices de Horas trabajadas (IHT).  Base 1997,360d693d-8048-43d6-b282-5163fa449cc5,ERROR,2,2
76,Encuesta industrial. Índices de Obreros Ocupados (IOO).  Base 1997,0e1b6273-8785-49df-8717-0ec30cbcce55,ERROR,2,2
77,Encuesta industrial. Índice de Volumen Físico (IVF).  Base 1997,7b6ad550-6095-451d-a66e-d8eb10d295cd,ERROR,2,2
78,Encuesta industrial revisada. Índice de Salario por Obrero (ISO).  Base 1997,5a3e56c7-0868-4416-ae41-3ed4853c17bb,ERROR,2,2
79,Encuesta industrial revisada. Índices de Horas trabajadas (IHT).  Base 1997,3e39b85d-d874-4d4e-955e-f8b308ce3c99,ERROR,2,2
80,Encuesta industrial revisada. Índices de Obreros Ocupados (IOO).  Base 1997,9f569fc5-be5d-4b85-9454-ace5f92e3d99,ERROR,2,2
81,Energías Renovables - Balance por radio censal de Energía derivada de la Biomasa WISDOM,e9632ba6-ea97-4d8a-903f-335754e2dec1,ERROR,2,8
82,Energías renovables - Irradiancia normal directa,f9fac8bd-bbed-496e-8bbb-54e00b4ef342,ERROR,2,2
83,Energías renovables - Plantas de biocombustibles,32c7ca82-80b1-45a8-870b-3aa0fadc22e9,ERROR,2,2
84,Energías renovables - Puntos de Interés Geotérmico,93cdb6dc-a44c-4f52-8a7f-f297a690dea3,ERROR,2,2
85,Energías renovables - Radiación Solar Incidente,8b021987-6820-432c-864e-5e5532793c56,ERROR,2,24
86,Entidades constituidas en la Inspección General de Justicia,5f45b863-31e5-4e10-904b-e0169d334c75,ERROR,2,60
87,Equipamiento científico-tecnológico,be50e647-71b4-4dd0-b19c-5f45943357aa,ERROR,2,2
88,Escuelas conectadas,21f94e87-5681-4b75-92d6-be6018f57b23,ERROR,2,3
89,Escuelas Conectadas con Tecnología Gillat,33960e5c-bb8a-4935-8e9e-9395c428a82e,ERROR,2,3
90,Escuelas de próxima conexión,4594b3eb-4885-4ae8-bf0c-3310e8cd68ed,ERROR,2,3
91,Estadística de mediaciones prejudiciales y judiciales,857a0c15-188a-41c9-b32a-9f1334bc947e,ERROR,2,4
92,Estadísticas de biodiesel y bioetanol,9a84f05d-97a5-4506-8e67-70ad50d815a9,ERROR,2,6
