indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Barrios Populares de Argentina,89fb68b6-fce4-4297-8dee-24f5de8f20a8,ERROR,2,2
1,Índice de Precios al Consumidor histórico,01d024e5-7519-4e14-8cbe-7e27c8411089,ERROR,1,1
2,Índice de Precios al Consumidor GBA - Base 1974,02afb934-a703-46df-881b-fa750818cf20,ERROR,1,1
3,Tipos de Cambio Históricos,f2b4c942-e181-41ac-b680-06ca6ec56dfe,ERROR,1,1
4,Series históricas de estadísticas monetarias,210855db-e783-4c6e-a433-7a9c0323ca20,ERROR,1,1
5,IPC Categorías. Tasas de variación mensual. Base Dic-2016,c6c6d59c-1aea-4d47-b3b1-19082e47c6d9,ERROR,1,1
6,Principales subgrupos de recaudación tributaria,d1952f2e-a427-4f92-b36d-1dbebc0f4f22,ERROR,1,3
7,Fondos Comunes de Inversión,d8234ad0-6336-48fd-b6f0-cae5aa8c14ea,ERROR,1,2
8,Índices Bursátiles Argentina,5adb2e2c-024b-4248-aa91-02c788997743,ERROR,1,1
9,Tipo de Cambio $-USD - Futuro Dólar - NDF,3f0ce003-fa3c-4fee-9755-baa43b4041d2,ERROR,1,1
10,Ahorro del resto del mundo. Base 2004,8442c3e9-54bc-4592-b5e0-d189e2ce0b5c,ERROR,1,2
11,"Ingreso nacional, Ahorro nacional y Préstamo neto",6f7ae152-d4d9-4171-8015-6dc4cbcdeea4,ERROR,1,2
12,Inversión Bruta Interna Fija Total y Desagregada en australes a precios de 1970,1de234c1-8844-46be-b8f4-ce45b175ebd7,ERROR,1,1
13,Inversión Bruta Interna Equipo Durable de Producción Importado en australes a precios de 1970,1e057253-404a-4b1d-83c6-09fa939029b8,ERROR,1,1
14,Producto Interno Bruto a costo de factores en australes a precios de 1970,9499776c-9177-46c9-ab36-e6127c69122c,ERROR,1,1
15,Producto Interno Bruto a costo de factores Industria Manufacturera en australes a precios de 1970,7e46e328-8cb0-4466-ae4d-b708ac3fad9d,ERROR,1,1
16,Producto Interno Bruto a costo de factores a precios de 1970,0c943693-ed9c-413c-aa56-27c153e71dc5,ERROR,1,1
17,Producto Interno Bruto Construcciones a precios de 1970,b5e7bd4f-a004-4846-8504-633bc0b5be37,ERROR,1,1
18,Inversión Bruta Interna Total a precios de 1970,896f982a-8cf8-4a09-a18c-4f46f8d0cdf9,ERROR,1,1
19,Inversión Bruta Interna Fija a precios de 1970,c455997c-b958-4b9b-81d1-dc494941613e,ERROR,1,1
20,Inversión Bruta Interna Equipo Durable de Producción Nacional a pesos de 1970,ee15d584-81ff-4410-9732-482b6e09efa2,ERROR,1,1
21,Inversión Bruta Interna Equipo Durable de Producción Importado a pesos de 1970,9425f521-660a-471a-aba9-908707b19431,ERROR,1,1
22,"Producto Interno Bruto Comercio Mayorista, Minorista, Restaurantes y Hoteles a pesos de 1970",3863731d-c91a-403a-b5ae-182b2e0efaff,ERROR,1,1
23,Producto Interno Bruto Industria Manufacturera a precios de 1970,21d700df-cf46-4fe1-b2a6-f54abfb42cb3,ERROR,1,1
24,Producto Interno Bruto a costo de factores a pesos de 1960,a828f4e0-b42d-4d70-a43f-12cb63c9942a,ERROR,1,1
25,"Producto Interno Bruto Comercio Mayorista, Minorista, Restaurantes y Hoteles a pesos de 1960",007ea9bc-ec8e-4b1e-aded-5574216bf6cd,ERROR,1,1
26,Producto Interno Bruto Industria Manufacturera en millones de pesos de 1960,1ba46f48-3725-4f42-b26c-5aa9def5c3c6,ERROR,1,1
27,Inversión Bruta Interna Variación de Existencias en millones de pesos de 1960,95bbc780-48c0-4e5d-ad05-271b229b5b50,ERROR,1,1
28,Producto Interno Bruto a costo de factores desagregado por sector en millones de pesos de 1986,c3f32821-ea99-497d-af6e-3755edb377ac,ERROR,1,1
29,Producto Interno Bruto a costo de factores en millones de pesos de 1986,7d3733f0-d290-4004-86c6-d4b8d6b207bb,ERROR,1,1
30,Oferta y Demanda Global en millones de pesos a precios de 1986,00e78074-18ed-4461-9aca-c9663f78f452,ERROR,1,1
31,"Producto Interno Bruto Agricultura, Caza, Silvicutura y Pesca en millones de pesos de 1970",fc751c44-9d89-4cd5-94c1-722c4ed01d4b,ERROR,1,1
32,Producto Interno Bruto Subtotal Agrícola en millones de pesos de 1970,b235f549-f3c8-4807-a9c5-746bd1654274,ERROR,1,1
33,Producto Interno Bruto Explotación Minas y Canteras en millones de pesos de 1970,ca0eb390-d89b-4976-8d6f-8191ff3d2c17,ERROR,1,1
34,Inversión Bruta Interna por Sector a precios constantes de 1950,d28fd4fe-c507-4947-927a-159c8b710942,ERROR,1,1
35,Ingreso Bruto Nacional y Producto Bruto Interno a costo de factores. Precios constantes. Base 1950.,3432aa5d-2266-4422-b49c-2ed131dc89f5,ERROR,1,1
36,Distribución del Ingreso Neto Nacional. Millones de pesos corrientes,7a1d5431-926c-42ff-8cc0-7fa213d8a6e9,ERROR,1,1
37,Producto Interno Bruto a precios de mercado y a costo de factores a precios corrientes,eddcc9a4-73af-4993-879b-c46006beb09a,ERROR,1,1
38,Producto Interno Bruto a precios de mercado y a costo de factores a precios constantes de 1960,4cbe5e6c-e46e-46e0-9b56-d5f93bca115c,ERROR,1,1
39,Oferta y Demanda Global Total a precios corrientes,772c4dcd-99ea-4bb1-b169-88d3a81d054d,ERROR,1,1
40,Inversión Bruta Interna por Tipo de Bien a precios corrientes,36b16b72-5fb1-4f75-9738-a57359ab8712,ERROR,1,1
41,Oferta y Demanda Global a precios constantes de 1950,be69f515-eb70-4e8c-9459-86926be15739,ERROR,1,1
42,Volumen Físico de Exportaciones. Precios constantes. Base 1950,894a61b6-e96b-4de7-8859-70a125d9a3fd,ERROR,1,1
43,Volumen Físico de Importaciones. Precios constantes. Base 1950,59b5198a-feb7-43de-9807-11fc3e9dc896,ERROR,1,1
44,Precios Implícitos Producto Interno Bruto a costo de factores. Base 1950,37f74524-4e0b-4979-bc21-6d45fd3164d5,ERROR,1,1
45,Precios Implícitos Oferta y Demanda Global. Base 1950,4cc0f5be-800c-4822-8d14-41f16bc2a827,ERROR,1,1
46,Producto Interno Bruto Mercaderías y Servicios Disponibles en millones de pesos de 1970,679ba5b0-f389-49b6-88ad-89d59eea3dd8,ERROR,1,1
47,Producto Interno Bruto Subtotal Pecuario en millones de pesos de 1970,31064188-bf2b-4aa1-8e81-a996a87c7f70,ERROR,1,1
48,"Producto Interno Bruto Transporte, Almacenamiento y Comunicaciones en millones de pesos de 1970",3397a1e6-4479-4971-948f-6db7bbf4b538,ERROR,1,1
49,"Producto Interno Bruto Establecimientos Financieros, Seguros y Bienes Inmuebles en millones de pesos de 1970",51169f14-3bc5-4d15-ac50-598d5e4ab913,ERROR,1,1
