indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Pagos anuales de las líneas de FOMECA (pesos corrientes),PAGOS-ANUAL-DE-LAS-LINEA,OK,0,3
1,Fomeca: montos aprobados y pagados por entidad beneficiada,FOMEC-MONTO-APROB-Y-PAGAD,OK,0,3
2,Listado de radioaficionados,LISTA-DE-RADIO-94584,OK,0,3
3,Numeración no geográfica,NUMER-NO-GEOGR,OK,0,3
4,Numeración geográfica,NUMER-GEOGR,OK,0,3
5,Empresas homologadas inscriptas,EMPRE-HOMOL-INSCR,OK,0,3
6,Equipos homologados inscriptos,EQUIP-HOMOL-INSCR-40320,OK,0,3
7,Equipos homologados inscriptos,EQUIP-HOMOL-INSCR,OK,0,3
8,Listado de estaciones repetidoras autorizadas,LISTA-DE-ESTAC-REPET-AUTOR,OK,0,3
9,Listado de radioclubes,RADIO-20,OK,0,3
10,Subregistro de prestadores de servicios de mensajería,SUBRE-DE-PREST-DE-SERVI,OK,0,3
11,Registro de prestadores de servicios postales,REGIS-DE-PREST-DE-SERVI,OK,0,3
12,Licenciatarios TIC,LICEN-TIC-AUTOM,OK,0,3
13,Listado de señales distintivas especiales,LISTA-DE-SENAL-DISTI-ESPEC,OK,0,3
14,Ventas mensuales de servicios telegráficos del correo oficial y privados,VENTA-TRIME-DE-SERVI-TELEG,OK,0,3
15,Ventas mensuales de servicios monetarios postales del correo oficial (en $),VENTA-TRIME-DE-SERVI-MONET,OK,0,3
16,Ventas mensuales de servicios postales del correo oficial y operadores privados,VENTA-TRIME-DE-SERVI-POSTA,OK,0,3
17,"Unidades mensuales vendidas de servicios telegráficos, correo oficial y privados",UNIDA-TRIME-VENDI-DE-57028,OK,0,3
18,Unidades mensuales vendidas de servicios monetarios postales del correo oficial,UNIDA-TRIME-VENDI-DE-15730,OK,0,3
19,Acceso a Internet fijo por tecnología y provincia,ACCES-A-INTER-FIJO-POR,OK,0,3
20,Acceso a Internet fijo por velocidad de bajada y provincia,ACCES-A-INTER-FIJO-23248,OK,0,3
21,Banda ancha y banda angosta por provincia,BANDA-ANCHA-Y-BANDA-ANGOS,OK,0,3
22,Radiobases 4G desplegadas por trimestre y provincia,RADIO-4G-DESPL-POR-TRIME,OK,0,3
23,Portabilidad numérica móvil: altas mensuales por operador,PORTA-NUMER-MOVIL-ALTAS-MENSU,OK,0,3
24,Ventas trimestrales de servicios postales por provincia,VENTA-TRIME-DE-SERVI-37520,OK,0,3
25,Unidades trimestrales vendidas de servicios postales por provincia,UNIDA-TRIME-VENDI-DE-43333,OK,0,3
26,"Accesos de telefonía fija por provincia (hogares, comerciales, gobierno y otros)",ACCES-DE-TELEF-FIJA-POR,OK,0,3
27,Total nacional de accesos a Internet fijo por velocidad de bajada,TOTAL-NACIO-DE-ACCES-32663,OK,0,3
28,Total nacional de accesos a Internet fijo por tipo de tecnología,TOTAL-NACIO-DE-ACCES-A,OK,0,3
29,Total nacional de accesos a Internet fijo por banda ancha y banda angosta,TOTAL-NACIO-DE-ACCES-48866,OK,0,3
30,Ingresos por la operación del servicio de Internet fijo,INGRE-POR-LA-OPERA-DEL,OK,0,3
31,Penetración del Internet fijo por provincia (accesos por cada 100 habitantes),PENET-DEL-INTER-FIJO-POR,OK,0,3
32,Penetración del Internet fijo por provincia (accesos por cada 100 hogares),PENET-DEL-INTER-FIJO-51614,OK,0,3
33,Penetración nacional del Internet fijo,PENET-NACIO-DEL-INTER-FIJO,OK,0,3
34,Número de SMS enviados,NUMER-DE-SMS-ENVIA,OK,0,3
35,Telefonía móvil: número de llamadas salientes,TELEF-MOVIL-NUMER-DE-LLAMA,OK,0,3
36,Ingresos trimestrales por la prestación del servicio de telefonía móvil,INGRE-TRIME-POR-LA-PREST,OK,0,3
37,Penetración nacional de la telefonía móvil (accesos por cada 100 habitantes),PENET-NACIO-DE-LA-TELEF,OK,0,3
38,Telefonía móvil: minutos salientes (miles),TELEF-MOVIL-MINUT-SALIE-MILES,OK,0,3
39,Total nacional de accesos a telefonía móvil,TOTAL-NACIO-DE-ACCES-52199,OK,0,3
40,Unidades mensuales vendidas de servicios postales del correo oficial y privados,UNIDA-TRIME-VENDI-DE-SERVI,OK,0,3
41,Personal ocupado por trimestre en el correo oficial y en operadores privados,PERSO-OCUPA-POR-TRIME-EN,OK,0,3
42,Total nacional de accesos a telefonía fija,TOTAL-NACIO-DE-ACCES-18734,OK,0,3
43,Ingresos trimestrales por la prestación del servicio de telefonía fija,INGRE-TRIME-POR-LA-96059,OK,0,3
44,Penetración provincial de la telefonía fija,PENET-PROVI-DE-LA-TELEF,OK,0,3
45,Penetración total nacional de la telefonía fija por trimestre,PENET-TOTAL-NACIO-DE-LA,OK,0,3
46,Penetración total nacional de la televisión por suscripción y satelital,PENET-TOTAL-NACIO-DE-55233,OK,0,3
47,Accesos de televisión por suscripción por provincia,ACCES-DE-TELEV-POR-SUSCR,OK,0,3
48,Ingresos trimestrales por la prestación de los servicios de televisión,INGRE-TRIME-POR-LA-86109,OK,0,3
49,Penetración provincial de la televisión por suscripción,PENET-PROVI-DE-LA-TELEV,OK,0,3
50,Total nacional de accesos a televisión por suscripción y televisión satelital,TOTAL-NACIO-DE-ACCES-40941,OK,0,3
51,Número de radiobases 4G por provincia por cada 100 mil habitantes,NUMER-DE-RADIO-4G-POR,OK,0,3
52,Denuncias mensuales recibidas,NUMER-MENSU-DE-DENUN,OK,0,3
53,Denuncias recibidas por delegación (año corrido),DENUN-RECIB-POR-DELEG-ANO,OK,0,3
54,Reclamos por motivo de reclamación (año corrido),TOTAL-DE-RECLA-POR-TIPO,OK,0,3
55,Reclamos por operador y motivo de reclamo,RECLA-POR-OPERA-ANO-CORRI,OK,0,3
56,Reclamos mensuales por tipo de servicio,RECLA-MENSU-POR-TIPO-DE,OK,0,3
57,Reclamos por tipo de servicio (año corrido),RECLA-POR-TIPO-DE-SERVI,OK,0,3
58,"Operadores con el mayor número de reclamos recibidos, servicio de Internet fijo",OPERA-CON-EL-MAYOR-NUMER,OK,0,3
59,"Operadores con el mayor número de reclamos recibidos, servicio de telefonía fija",OPERA-CON-EL-MAYOR-65162,OK,0,3
60,"Operadores con el mayor número de reclamos recibidos,servicio de telefonía móvil",OPERA-CON-EL-MAYOR-16582,OK,0,3
61,Reclamos mensuales recibidos por motivo de reclamo,NUMER-MENSU-DE-RECLA-88502,OK,0,3
62,Portabilidad numérica móvil: portaciones netas mensuales por operador,PORTA-NUMER-MOVIL-ALTAS-Y,OK,0,3
63,Conectividad al servicio de Internet,CONEC-AL-SERVI-DE-INTER,OK,0,3
64,Registro de Proveedores Postales,REGIS-DE-PROVE-POSTA,OK,0,3
