indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Ingresos y Egresos de personas al pais y Residencias Otorgadas.,dd032084-b7eb-4317-9151-05fc850c1654,ERROR,1,12
1,Solicitudes de Acceso a la Información Pública Año 2017,55c8b8f7-1591-4870-b24d-0b6bb54abef5,OK,0,1
2,Plan Estratégico Territorial,23f24c02-7a31-4998-a774-ec8bf82d9b5f,ERROR,1,1
3,Registro Único de Audiencias de Gestión de Intereses,28c12f14-e847-4826-9bc2-d110d72d0674,OK,0,7
4,Resultados Definitivos Elecciones PASO 2017,3d510b38-4744-44e7-a1f2-2c5a0a2696dd,OK,0,2
5,Resultados Definitivos Elecciones Generales 2017,b79d08e4-3aa8-4c20-a449-6cb049de6d90,OK,0,2
6,Atlas de Indicadores,d7222fce-d57a-4334-9c34-7e56dedcf6d5,ERROR,1,1
7,Sistema de información Geográfica,514da746-b33a-4f32-ba27-4ed18d4bda17,ERROR,1,1
8,Solicitudes de Acceso a la Información Pública,940cde74-532a-4636-b45c-19ab809f43bc,ERROR,1,1
9,"Estaciones de medición, valores de parámetros y productos de la Red",93913deb-d22e-4c0d-bca3-f465e7b2bb94,ERROR,2,3
10,"Información sobre las autoridades, ubicación geográfica, datos institucionales y contacto",e724cb68-c43f-4e1f-9474-a3139517bc7d,OK,0,23
