jurisdiction_id,jurisdiction_title,catalog_id,catalog_title,catalog_homepage,catalog_url_json,catalog_url_xlsx,catalog_url_datosgobar
3,Ministerio de Modernización,arsat,ARSAT,,http://datos.arsat.com.ar/data.json,,http://datos.gob.ar/dataset?organization=arsat
3,Ministerio de Modernización,enacom,Ente Nacional de Comunicaciones (ENACOM),,http://datosabiertos.enacom.gob.ar/data.json,,http://datos.gob.ar/dataset?organization=enacom
3,Ministerio de Modernización,modernizacion,Datos Modernización,,http://infra.datos.gob.ar/catalog/modernizacion/data.json,https://docs.google.com/spreadsheets/d/1gsDvRqLCCCIMPAB1NsIx978qrBmo24_6lzdYo0_Qijg/export?format=xlsx,http://datos.gob.ar/dataset?organization=modernizacion
3,Ministerio de Modernización,otros,Datos APN,,http://infra.datos.gob.ar/catalog/otros/data.json,https://docs.google.com/spreadsheets/d/1A7tLUUTvi9WR8ib9DOggA3cgG71LaTJv1kwu1EZqxGI/export?format=xlsx,http://datos.gob.ar/dataset?organization=otros
2562,Ministerio de Justicia y Derechos Humanos,justicia,Datos Justicia Argentina,,https://raw.githubusercontent.com/datosgobar/libreria-catalogos/master/justicia/data.json,,http://datos.gob.ar/dataset?organization=justicia
26548,Ministerio de Seguridad,seguridad,Datos del Sistema Nacional de Información Criminal (SNIC),,https://raw.githubusercontent.com/datosgobar/libreria-catalogos/master/seguridad/data.json,https://estadisticascriminales.minseg.gob.ar/datos/catalog.xlsx,http://datos.gob.ar/dataset?organization=seguridad
39792,Ministerio de Defensa,ign,Datos del Instituto Geográfico Nacional,http://www.ign.gob.ar/sig,https://raw.githubusercontent.com/datosgobar/libreria-catalogos/master/ign/data.json,http://www.ign.gob.ar/descargas/geodatos/catalog.xlsx,http://datos.gob.ar/dataset?organization=ign
2397,Ministerio de Agroindustria,agroindustria,Datos Agroindustriales,,https://datos.agroindustria.gob.ar/data.json,https://datos.agroindustria.gob.ar/catalog.xlsx,http://datos.gob.ar/dataset?organization=agroindustria
2333,Ministerio de Transporte,transporte,,,https://servicios.transporte.gob.ar/gobierno_abierto/data.json,,http://datos.gob.ar/dataset?organization=transporte
2333,Ministerio de Transporte,anac,Portal de Datos Abiertos ANAC,,https://datos.anac.gob.ar/data.json,,
11603,Ministerio de Energía y Minería,energia,Ministerio de Energia y Mineria,,https://raw.githubusercontent.com/datosgobar/libreria-catalogos/master/energia/data.json,,http://datos.gob.ar/dataset?organization=energia
40050,"Ministerio de Ciencia, Tecnología e Innovación Productiva",mincyt,Datos de la Ciencia y la Tecnología Argentina,,http://datos.mincyt.gob.ar/datasets/data.json,,http://datos.gob.ar/dataset?organization=mincyt
9063,Ministerio de Salud,pami,CKAN,,https://raw.githubusercontent.com/datosgobar/libreria-catalogos/master/pami/data.json,,
2186,Ministerio de Ambiente y Desarrollo Sustentable,ambiente,Datos Abiertos del Ministerio de Ambiente y Desarrollo Sustentable,,http://datos.ambiente.gob.ar/data.json,http://datos.ambiente.gob.ar/catalog.xlsx,http://datos.gob.ar/dataset?organization=ambiente
2186,Ministerio de Ambiente y Desarrollo Sustentable,acumar,Autoridad de Cuenca Matanza Riachuelo,,http://andino.acumar.gov.ar/data.json,http://andino.acumar.gov.ar/catalog.xlsx,http://datos.gob.ar/dataset?organization=acumar
50691,Ministerio de Hacienda,sspm,Datos Programación Macroeconómica,,http://infra.datos.gob.ar/catalog/sspm/data.json,,http://datos.gob.ar/dataset?organization=sspm
50691,Ministerio de Hacienda,sspmi,Datos Económicos Sectoriales y Provinciales,,https://raw.githubusercontent.com/datosgobar/libreria-catalogos/master/sspmi/data.json,http://minhacienda.gob.ar/catalogo-sspmi/catalog.xlsx,http://datos.gob.ar/dataset?organization=sspmi
