indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Índice de Tipo de Cambio Real Sectorial Efectivo,1,OK,0,3
1,Ahora 12,2,OK,0,4
2,GPS Empresas,3,OK,0,20
3,Indicadores Sectoriales de Acero,4,OK,0,7
4,Indicadores Sectoriales de Agroindustria,5,OK,0,1
5,Indicadores Sectoriales de Automotores,6,OK,0,7
6,Indicadores Sectoriales de la Construcción,7,OK,0,10
7,Indicadores Sectoriales de Energía,8,OK,0,1
8,Indicador Mensual de Inversión,9,OK,0,2
9,Indicador de Importaciones de Bienes de Capital Productivo,10,OK,0,2
10,Indicadores Sectoriales de Industria,11,OK,0,1
11,Sector Externo,12,OK,0,4
12,Indicadores Sectoriales de Transporte y Logística,13,OK,0,3
13,Indicadores Sectoriales de Motos,14,OK,0,2
