indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,2017 Cancelaciones RMBA - periodo - modo - empresa - linea - cantidad (PRELIMINARES),01506f5f-17b9-4901-8f4d-9e4357acf80d,ERROR,1,3
1,2017 Empresas transporte RMBA,487b5547-4097-4596-9c30-27f286882f45,ERROR,1,7
2,2016 Cancelaciones RMBA - periodo - modo - empresa - linea - tipo pasaje - cantidad,2c7b31b2-6b2e-45e5-9706-2d45a03fdb90,ERROR,1,12
3,Informe Matriz Origen-Destino vial de Transporte de Cargas,95730d49-4dd2-4542-899f-c8aa968051ee,OK,0,4
4,2017 Lineas transporte RMBA (PRELIMINARES),972380c0-970a-4724-a1ad-8af2ccf7dc43,ERROR,1,3
5,2017 Empresas transporte RMBA (PRELIMINARES),1bcfc509-c7c8-4269-9c07-331d41b60991,ERROR,1,3
6,2017 Cancelaciones RMBA - periodo - modo - empresa - linea - tipo pasaje - cantidad (PRELIMINARES),75c6dfdf-f436-44b2-bec1-46217f4d5bfc,ERROR,1,3
7,2017 Cancelaciones RMBA - periodo - modo - empresa - cantidad (PRELIMINARES),8896b77c-ea35-4c58-bf46-8315bd1d1b3f,ERROR,1,3
8,2017 Cancelaciones RMBA - periodo - modo - cantidad (PRELIMINARES),82fd6bd3-ccf8-4311-9475-57836133528a,ERROR,1,3
9,2017 Cancelaciones RMBA - periodo - cantidad (PRELIMINARES),c4213373-7c2e-4866-bc26-32c3cf7dc049,ERROR,1,3
10,2017 Lineas transporte RMBA,1cb431e9-d5e7-454c-b4b1-a8325438465d,ERROR,1,7
11,2017 Cancelaciones RMBA - periodo - modo - empresa - linea - tipo pasaje - cantidad,f3a5285a-917b-48c2-80a4-832a12ca005f,ERROR,1,7
12,2017 Cancelaciones RMBA - periodo - modo - empresa - linea - cantidad,4fbdf918-9ee9-43fd-96f1-e57e82880b15,ERROR,1,7
13,2017 Cancelaciones RMBA - periodo - modo - empresa - cantidad,e04919fa-b93e-461d-91e0-db0d74fb8fac,ERROR,1,7
14,2017 Cancelaciones RMBA - periodo - modo - cantidad,c2d533bd-2c05-47f4-9be9-ab1770b561e7,ERROR,1,7
15,2017 Cancelaciones RMBA - periodo - cantidad,3798955b-9cb9-4936-965e-630f4c4bb7e7,ERROR,1,7
16,2015 Lineas transporte RMBA,202cf2b3-d4f6-4561-8c32-b3c17b75e518,ERROR,1,12
17,2015 Empresas transporte RMBA,4dd4a911-2d3e-4f4b-9224-920a9ff3b736,ERROR,1,12
18,2015 Cancelaciones RMBA - periodo - modo - empresa - linea - tipo pasaje - cantidad,3322d7ec-df92-4aa3-b274-b84f9583614e,ERROR,1,12
19,2015 Cancelaciones RMBA - periodo - modo - empresa - linea - cantidad,c5f12001-8a02-48ac-9769-f44c1538b49c,ERROR,1,12
20,2015 Cancelaciones RMBA - periodo - modo - empresa - cantidad,6f6cbaaa-b677-4352-a151-1c9b7a45c0b2,ERROR,1,12
21,2015 Cancelaciones RMBA - periodo - modo - cantidad,1b585ba8-ce1f-4ec7-baf2-0af12c138caa,ERROR,1,12
22,2015 Cancelaciones RMBA - periodo - cantidad,e6a51766-6674-4303-b3e3-14875cdec7e7,ERROR,1,12
23,2016 Lineas transporte RMBA,accc00b4-133b-4503-bca4-a9e29aa71633,ERROR,1,12
24,2016 Empresas transporte RMBA,7cddd5f6-42d8-446e-969b-9e680451be46,ERROR,1,12
25,2016 Cancelaciones RMBA - periodo - modo - empresa - linea - cantidad,77e4160d-19b2-45e0-9ea3-88acd0586f58,ERROR,1,12
26,2016 Cancelaciones RMBA - periodo - modo - empresa - cantidad,eeeb47d4-e46f-4ec7-96c1-d9f6a6d51b1e,ERROR,1,12
27,2016 Cancelaciones RMBA - periodo - modo - cantidad,f4311201-30bf-4dce-95bb-f281537dcb3a,ERROR,1,12
28,2016 Cancelaciones RMBA - periodo - cantidad,b4407ad5-87da-479c-990d-ff4bc95303fd,ERROR,1,12
29,TMDA,bc0e36f6-9775-4f20-86b5-56bf34baa224,OK,0,3
30,Caminos Terciarios,f694aab5-7995-466b-bb8f-315e2c85d176,OK,0,3
31,Rutas Provinciales,0d3fce15-480c-4588-bb8b-2a8f85edcab3,OK,0,3
32,Cantidad de carga y pasajeros,76021864-2b2d-4e47-ab0e-b8f555cc5be5,OK,0,4
33,Boletos Vendidos,1d9fc51f-1462-4b26-907c-9f25f889f7a2,OK,0,3
34,Predios Aeropuertos,10d93e6d-f549-4e68-ba75-153ff7c82601,OK,0,3
35,Aeropuertos,e7bc3c33-b10c-41c4-9eb5-445bed8f61ab,OK,0,3
36,Aeródromos,1f3fa9d5-471e-4fce-aad8-2f074151d9a8,OK,0,3
37,Terminales Portuarias,f07d3f14-64ce-475b-9788-2603dd2fe02e,OK,0,3
38,Puertos,b0b231b9-e85d-44e9-8da9-eaff3af2d422,OK,0,3
39,Cruces Ferroviarios,c77e356a-e197-4b1d-8bdf-43e270765c73,OK,0,3
40,Postes Kilométricos,a9f98236-fe91-4dac-923f-f0ddd5810b3b,OK,0,3
41,Pavimentos,f0491468-7c53-409a-b371-5d39b63b0536,OK,0,3
42,Peajes,151e296a-d1bf-4bd2-ba26-5030fb092cc7,OK,0,3
43,Rutas Nacionales,abe45f2c-cf9f-458e-8b51-03ecda6f708a,OK,0,3
44,Recorridos de Líneas de Transporte de Región Metropolitana de Buenos Aires (RMBA),f87b93d4-ade2-44fc-a409-d3736ba9f3ba,OK,0,9
