indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Lista de Aeropuertos,aeropuertos,OK,0,1
1,Subsidios al transporte público de pasajeros,aportes,OK,0,3
2,Operaciones de SUBE por mes en RMBA,mcancelaciones,OK,0,4
3,Operaciones de SUBE por año en RMBA,acancelaciones,OK,0,4
4,Empresas de transporte de RMBA,empresas,OK,0,3
5,Líneas de transporte de RMBA,lineas,OK,0,3
6,Entrada y salida de buques del Puerto de Buenos Aires (AGP),agp,OK,0,1
7,Recorridos de servicios de colectivos AMBA,recorridos,OK,0,1
8,Red de Carga de RMBA,red,OK,0,4
9,S.I.S.T.A.U.,sistau,OK,0,3
10,Estaciones del sistema de Trenes Argentinos,estaciones,OK,0,1
11,Trenes - Transporte de pasajeros,trenes,OK,0,1
12,Aterrizajes y despegues registrados por EANA,eana,OK,0,1
